trajectory,method,cycle,true_RUL,pred_RUL,RUL_lo_cal90,RUL_hi_cal90
Hu pH 7 | KCuHCF,SPI+CBU (ours),12,88,93.0,49.63228039,136.3677196
Hu pH 7 | KMnHCF,SPI+CBU (ours),72,28,22.0,0.0,50.91917973
Hu pH 7 | KMnHCF,SPI+CBU (ours),84,16,10.54166298,0.0,34.8880896
Hu pH 7 | KMnHCF,SPI+CBU (ours),96,4,4.219929085,0.0,17.50453725
Hu pH 7 | KMnHCF,SPI+CBU (ours),100,0,9.509809745,0.0,32.91194963
Hu pH 7 | KMnHCF,SPI+TBU,12,88,9.932091963,,
Hu pH 7 | KMnHCF,SPI+TBU,24,76,2.298357141,,
Hu pH 7 | KMnHCF,SPI+TBU,36,64,0.843566201,,
Hu pH 7 | KMnHCF,SPI+TBU,48,52,0.0,,
Hu pH 7 | KMnHCF,SPI+TBU,60,40,inf,,
Hu pH 7 | KMnHCF,SPI+TBU,72,28,inf,,
Hu pH 7 | KMnHCF,SPI+TBU,84,16,inf,,
Hu pH 7 | KMnHCF,SPI+TBU,96,4,0.0,,
Hu pH 7 | KMnHCF,SPI+TBU,100,0,0.0,,
Hu pH 7 | KMnHCF,Lin,12,88,58.463411,,
Hu pH 7 | KMnHCF,Lin,24,76,17.40512293,,
Hu pH 7 | KMnHCF,Lin,36,64,5.226140025,,
Hu pH 7 | KMnHCF,Lin,48,52,0.0,,
Hu pH 7 | KMnHCF,Lin,60,40,0.0,,
Hu pH 7 | KMnHCF,Lin,72,28,0.0,,
Hu pH 7 | KMnHCF,Lin,84,16,0.0,,
Hu pH 7 | KMnHCF,Lin,96,4,0.0,,
Hu pH 7 | KMnHCF,Lin,100,0,0.0,,
Hu pH 7 | KMnHCF,Log-Bayes,12,88,7.750834982,,
Hu pH 7 | KMnHCF,Log-Bayes,24,76,0.645852366,,
Hu pH 7 | KMnHCF,Log-Bayes,36,64,-1.0,,
Hu pH 7 | KMnHCF,Log-Bayes,48,52,-2.0,,
Hu pH 7 | KMnHCF,Log-Bayes,60,40,-4.0,,
Hu pH 7 | KMnHCF,Log-Bayes,72,28,-7.0,,
Hu pH 7 | KMnHCF,Log-Bayes,84,16,-12.0,,
Hu pH 7 | KMnHCF,Log-Bayes,96,4,-19.0,,
Hu pH 7 | KMnHCF,Log-Bayes,100,0,-21.0,,
Hu pH 7 | KNiHCF,SPI+CBU (ours),12,88,88.0,50.30360062,125.6963994
Hu pH 7 | KNiHCF,SPI+CBU (ours),24,76,79.0,47.47289395,110.5271061
Hu pH 7 | KNiHCF,SPI+CBU (ours),36,64,64.0,33.17798461,94.82201539
Hu pH 7 | KNiHCF,SPI+CBU (ours),48,52,52.43985817,27.02637448,77.85334186
Hu pH 7 | KNiHCF,SPI+CBU (ours),60,40,42.0,19.4487858,64.5512142
Hu pH 7 | KNiHCF,SPI+CBU (ours),72,28,30.0,12.71778157,47.28221843
Hu pH 7 | KNiHCF,SPI+CBU (ours),84,16,18.0,3.36066557,32.63933443
Hu pH 7 | KNiHCF,SPI+CBU (ours),96,4,5.311975576,0.0,15.3447709
Hu pH 7 | KNiHCF,SPI+CBU (ours),100,0,3.0,0.0,9.938835137
Hu pH 7 | KNiHCF,SPI+TBU,12,88,101.0,,
Hu pH 7 | KNiHCF,SPI+TBU,24,76,95.39879893,,
Hu pH 7 | KNiHCF,SPI+TBU,36,64,73.0,,
Hu pH 7 | KNiHCF,SPI+TBU,48,52,64.0,,
Hu pH 7 | KNiHCF,SPI+TBU,60,40,50.73034069,,
Hu pH 7 | KNiHCF,SPI+TBU,72,28,37.0,,
Hu pH 7 | KNiHCF,SPI+TBU,84,16,19.97402685,,
Hu pH 7 | KNiHCF,SPI+TBU,96,4,7.0,,
Hu pH 7 | KNiHCF,SPI+TBU,100,0,3.0,,
Hu pH 7 | KNiHCF,Lin,12,88,90.0,,
Hu pH 7 | KNiHCF,Lin,24,76,83.31627601,,
Hu pH 7 | KNiHCF,Lin,36,64,69.39373747,,
Hu pH 7 | KNiHCF,Lin,48,52,58.7060256,,
Hu pH 7 | KNiHCF,Lin,60,40,47.0,,
Hu pH 7 | KNiHCF,Lin,72,28,36.56712345,,
Hu pH 7 | KNiHCF,Lin,84,16,22.0,,
Hu pH 7 | KNiHCF,Lin,96,4,7.0,,
Hu pH 7 | KNiHCF,Lin,100,0,3.0,,
Hu pH 7 | KNiHCF,Log-Bayes,12,88,inf,,
Hu pH 7 | KNiHCF,Log-Bayes,24,76,inf,,
Hu pH 7 | KNiHCF,Log-Bayes,36,64,inf,,
Hu pH 7 | KNiHCF,Log-Bayes,48,52,1767.044983,,
Hu pH 7 | KNiHCF,Log-Bayes,60,40,1163.72756,,
Hu pH 7 | KNiHCF,Log-Bayes,72,28,538.6153431,,
Hu pH 7 | KNiHCF,Log-Bayes,84,16,276.2713039,,
Hu pH 7 | KNiHCF,Log-Bayes,96,4,150.739644,,
Hu pH 7 | KNiHCF,Log-Bayes,100,0,121.0449708,,
Hu pH 7 | NaCoHCF,SPI+CBU (ours),12,88,98.0,61.01212268,134.9878773
Hu pH 7 | NaCoHCF,SPI+CBU (ours),24,76,64.0,34.67567034,93.32432966
Hu pH 7 | NaCoHCF,SPI+CBU (ours),36,64,52.11189293,26.36210131,77.86168455
Hu pH 7 | NaCoHCF,SPI+CBU (ours),48,52,42.54193472,14.17852447,70.90534498
Hu pH 7 | NaCoHCF,SPI+CBU (ours),60,40,31.32810865,5.307476882,57.34874041
