trajectory,method,cycle,true_RUL,pred_RUL,RUL_lo_cal90,RUL_hi_cal90
Hu pH 7 | NaCoHCF,SPI+CBU (ours),72,28,19.32810865,1.114594696,37.5416226
Hu pH 7 | NaCoHCF,SPI+CBU (ours),84,16,8.0,0.0,21.90803752
Hu pH 7 | NaCoHCF,SPI+CBU (ours),96,4,4.0,0.0,15.0315598
Hu pH 7 | NaCoHCF,SPI+CBU (ours),100,0,9.509809745,0.0,31.17249112
Hu pH 7 | NaCoHCF,SPI+TBU,12,88,129.936413,,
Hu pH 7 | NaCoHCF,SPI+TBU,24,76,28.0,,
Hu pH 7 | NaCoHCF,SPI+TBU,36,64,9.732926623,,
Hu pH 7 | NaCoHCF,SPI+TBU,48,52,7.793928539,,
Hu pH 7 | NaCoHCF,SPI+TBU,60,40,9.856845325,,
Hu pH 7 | NaCoHCF,SPI+TBU,72,28,4.0,,
Hu pH 7 | NaCoHCF,SPI+TBU,84,16,0.0,,
Hu pH 7 | NaCoHCF,SPI+TBU,96,4,0.0,,
Hu pH 7 | NaCoHCF,SPI+TBU,100,0,0.0,,
Hu pH 7 | NaCoHCF,Lin,12,88,114.8477627,,
Hu pH 7 | NaCoHCF,Lin,24,76,41.75459631,,
Hu pH 7 | NaCoHCF,Lin,36,64,13.0,,
Hu pH 7 | NaCoHCF,Lin,48,52,4.291463798,,
Hu pH 7 | NaCoHCF,Lin,60,40,0.0,,
Hu pH 7 | NaCoHCF,Lin,72,28,0.0,,
Hu pH 7 | NaCoHCF,Lin,84,16,0.0,,
Hu pH 7 | NaCoHCF,Lin,96,4,0.0,,
Hu pH 7 | NaCoHCF,Lin,100,0,0.0,,
Hu pH 7 | NaCoHCF,Log-Bayes,12,88,1352.650012,,
Hu pH 7 | NaCoHCF,Log-Bayes,24,76,45.42490253,,
Hu pH 7 | NaCoHCF,Log-Bayes,36,64,16.53107574,,
Hu pH 7 | NaCoHCF,Log-Bayes,48,52,11.45263112,,
Hu pH 7 | NaCoHCF,Log-Bayes,60,40,6.973030375,,
Hu pH 7 | NaCoHCF,Log-Bayes,72,28,0.0,,
Hu pH 7 | NaCoHCF,Log-Bayes,84,16,-8.0,,
Hu pH 7 | NaCoHCF,Log-Bayes,96,4,-15.0,,
Hu pH 7 | NaCoHCF,Log-Bayes,100,0,-17.0,,
Hu pH 7 | NaFeHCF,SPI+CBU (ours),12,88,99.0,63.10617288,134.8938271
Hu pH 7 | NaFeHCF,SPI+CBU (ours),24,76,82.0,52.35102869,111.6489713
Hu pH 7 | NaFeHCF,SPI+CBU (ours),36,64,66.0,40.83790279,91.16209721
Hu pH 7 | NaFeHCF,SPI+CBU (ours),48,52,51.57524816,26.5397408,76.61075551
Hu pH 7 | NaFeHCF,SPI+CBU (ours),60,40,37.86829236,17.02721934,58.70936539
Hu pH 7 | NaFeHCF,SPI+CBU (ours),72,28,23.36256646,6.855400673,39.86973225
Hu pH 7 | NaFeHCF,SPI+CBU (ours),84,16,9.727826019,0.0,21.87078751
Hu pH 7 | NaFeHCF,SPI+CBU (ours),96,4,1.868292364,0.0,7.1555397
Hu pH 7 | NaFeHCF,SPI+CBU (ours),100,0,1.311975576,0.0,7.383456322
Hu pH 7 | NaFeHCF,SPI+TBU,12,88,158.0,,
Hu pH 7 | NaFeHCF,SPI+TBU,24,76,125.7466942,,
Hu pH 7 | NaFeHCF,SPI+TBU,36,64,80.67091329,,
Hu pH 7 | NaFeHCF,SPI+TBU,48,52,50.71808091,,
Hu pH 7 | NaFeHCF,SPI+TBU,60,40,35.18128323,,
Hu pH 7 | NaFeHCF,SPI+TBU,72,28,20.92099476,,
