material,replicate,cycle,pred_retention,ci_lo,ci_hi
KCoHCF,1,23224.242536962,83.74730599176986,83.65570451310556,83.83890747043417
KCoHCF,1,23351.957382249875,83.73693128712561,83.6451394172434,83.82872315700783
KCoHCF,1,23480.374557513893,83.72655658004498,83.63457406936492,83.81853909072505
KCoHCF,1,23609.497925009753,83.71618187054133,83.62400847103189,83.80835527005078
KCoHCF,1,23739.331368232633,83.70580715862786,83.6134426237951,83.79817169346063
KCoHCF,1,23869.878792033694,83.69543244431779,83.60287652919467,83.7879883594409
KCoHCF,1,24001.144122737725,83.68505772762418,83.59231018875991,83.77780526648846
KCoHCF,1,24133.13130826117,83.67468300856012,83.58174360400955,83.7676224131107
KCoHCF,1,24265.84431823087,83.66430828713854,83.57117677645165,83.75743979782543
KCoHCF,1,24399.287144103455,83.65393356337233,83.56060970758382,83.74725741916085
KCoHCF,1,24533.463799285393,83.64355883727433,83.5500423988932,83.73707527565546
KCoHCF,1,24668.378319253636,83.63318410885728,83.53947485185655,83.726893365858
KCoHCF,1,24804.034761677198,83.62280937813387,83.52890706794037,83.71671168832736
KCoHCF,1,24940.437206538896,83.61243464511669,83.51833904860086,83.70653024163252
KCoHCF,1,25077.589756258254,83.60205990981831,83.50777079528409,83.69634902435253
KCoHCF,1,25215.496535814833,83.5916851722512,83.49720230942602,83.68616803507639
KCoHCF,1,25354.1616928723,83.58131043242776,83.48663359245258,83.67598727240293
KCoHCF,1,25493.58939790312,83.57093569036034,83.47606464577974,83.66580673494094
KCoHCF,1,25633.78384431419,83.5605609460612,83.46549547081358,83.65562642130882
KCoHCF,1,25774.749248572654,83.55018619954255,83.45492606895031,83.64544633013479
KCoHCF,1,25916.489850332913,83.53981145081653,83.44435644157645,83.63526646005661
KCoHCF,1,26059.009912564103,83.5294366998952,83.43378659006873,83.62508680972167
KCoHCF,1,26202.31372167829,83.51906194679057,83.42321651579437,83.61490737778678
KCoHCF,1,26346.405587659392,83.5086871915146,83.41264622011093,83.60472816291826
KCoHCF,1,26491.28984419281,83.49831243407914,83.40207570436652,83.59454916379175
KCoHCF,1,26636.970848795765,83.48793767449601,83.39150496989981,83.5843703790922
KCoHCF,1,26783.452982948304,83.47756291277695,83.3809340180401,83.5741918075138
KCoHCF,1,26930.74065222528,83.46718814893364,83.37036285010738,83.5640134477599
KCoHCF,1,27078.83828642854,83.4568133829777,83.35979146741244,83.55383529854296
KCoHCF,1,27227.75033972038,83.4464386149207,83.34921987125688,83.54365735858451
KCoHCF,1,27377.481290757423,83.4360638447741,83.33864806293317,83.53347962661502
KCoHCF,1,27528.035642825354,83.42568907254933,83.32807604372476,83.5233021013739
KCoHCF,1,27679.41792397428,83.41531429825778,83.31750381490616,83.5131247816094
KCoHCF,1,27831.632687155154,83.40493952191075,83.3069313777429,83.5029476660786
KCoHCF,1,27984.684510356357,83.39456474351945,83.29635873349166,83.49277075354725
KCoHCF,1,28138.577996741627,83.3841899630951,83.2857858834004,83.4825940427898
KCoHCF,1,28293.317774788433,83.37381518064878,83.27521282870823,83.47241753258932
KCoHCF,1,28448.908498427187,83.36344039619158,83.26463957064576,83.4622412217374
KCoHCF,1,28605.354847181206,83.35306560973447,83.25406611043482,83.45206510903412
KCoHCF,1,28762.66152630748,83.3426908212884,83.24349244928882,83.44188919328798
KCoHCF,1,28920.833266938076,83.33231603086425,83.23291858841264,83.43171347331585
KCoHCF,1,29079.87482622273,83.32194123847283,83.22234452900277,83.4215379479429
KCoHCF,1,29239.790987471522,83.3115664441249,83.21177027224726,83.41136261600255
KCoHCF,1,29400.586560298987,83.30119164783119,83.20119581932597,83.4011874763364
KCoHCF,1,29562.26638076871,83.29081684960228,83.19062117141041,83.39101252779415
KCoHCF,1,29724.835311538787,83.2804420494488,83.180046329664,83.3808377692336
KCoHCF,1,29888.29824200805,83.27006724738126,83.16947129524199,83.37066319952054
KCoHCF,1,30052.660088463083,83.25969244341013,83.15889606929154,83.36048881752872
KCoHCF,1,30217.9257942263,83.24931763754583,83.14832065295187,83.35031462213979
KCoHCF,1,30384.100329804285,83.23894282979869,83.13774504735419,83.34014061224319
KCoHCF,1,30551.1886930375,83.22856802017901,83.12716925362183,83.3299667867362
KCoHCF,1,30719.195909250564,83.21819320869706,83.11659327287035,83.31979314452377
KCoHCF,1,30888.127031403368,83.20781839536299,83.10601710620743,83.30961968451855
KCoHCF,1,31057.987140243065,83.19744358018696,83.09544075473313,83.29944640564078
KCoHCF,1,31228.78134445688,83.187068763179,83.08486421953975,83.28927330681825
KCoHCF,1,31400.514780825666,83.17669394434918,83.07428750171209,83.27910038698627
KCoHCF,1,31573.192614378702,83.16631912370741,83.06371060232728,83.26892764508754
KCoHCF,1,31746.820038548598,83.15594430126365,83.05313352245503,83.25875508007226
