material,threshold,replicate,method,life,band_lo,band_hi,cycle,actual,true_RUL,pred_RUL,pred_retention,RUL_lo_cal90,RUL_hi_cal90
KCoHCF,90.0,2,SPI+CBU (ours),1208.4,1208.4,1389.2,900.0,91.96811922181818,308.4244643893228,381.0,91.95610515209074,241.6850560000784,520.3149439999215
KCoHCF,90.0,2,SPI+CBU (ours),1208.4,1208.4,1389.2,950.0,91.7138487709091,258.4244643893228,328.5,91.68546339444488,192.76266035156328,464.2373396484368
KCoHCF,90.0,2,SPI+CBU (ours),1208.4,1208.4,1389.2,1000.0,91.51659647,208.4244643893228,309.0,91.4231706515851,200.6227233654804,417.37727663451966
KCoHCF,90.0,2,SPI+CBU (ours),1208.4,1208.4,1389.2,1050.0,91.12757377636365,158.4244643893228,232.0,91.23457020654789,112.57702225006447,351.4229777499355
KCoHCF,90.0,2,SPI+CBU (ours),1208.4,1208.4,1389.2,1100.0,90.96043051727273,108.4244643893228,174.0,90.92748680819518,51.98890818118042,296.0110918188196
KCoHCF,90.0,2,SPI+CBU (ours),1208.4,1208.4,1389.2,1150.0,90.5742035781818,58.42446438932279,125.0,90.6428170065183,4.8375610875261685,245.16243891247385
KCoHCF,90.0,2,SPI+CBU (ours),1208.4,1208.4,1389.2,1200.0,90.07525043,8.424464389322793,44.0,90.38459413027805,0.0,181.72464152275847
KCoHCF,90.0,2,SPI+CBU (ours),1208.4,1208.4,1389.2,1208.0,90.00434050454545,0.424464389322793,31.5,90.20568104693288,0.0,171.6278903010079
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,50.0,99.48620487454544,1158.4244643893228,1294.0,99.18764104052784,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,100.0,98.6106233118182,1108.4244643893228,1285.0,99.46082405849366,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,150.0,97.82791241454548,1058.4244643893228,1267.0,98.75980681056332,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,200.0,96.76834831272728,1008.4244643893228,1216.0,97.9994636032072,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,250.0,96.1954541681818,958.4244643893228,1107.0,97.17685520667496,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,300.0,95.52639471090907,908.4244643893228,934.0,96.40049281853376,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,350.0,95.02896913454546,858.4244643893228,740.0,95.68349558026463,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,400.0,94.57380485363636,808.4244643893228,613.0,94.9826672884934,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,450.0,94.21915902818182,758.4244643893228,510.0,94.3855277905007,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,500.0,93.97202829,708.4244643893228,481.0,93.81469474713612,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,550.0,93.8190741009091,658.4244643893228,486.0,93.44250815256112,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,600.0,93.61358057272729,608.4244643893228,545.0,93.1768741754386,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,650.0,93.31218423636363,558.4244643893228,579.0,93.05505802371589,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,700.0,93.03965044636362,508.4244643893228,593.0,92.88392529877576,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,750.0,92.78217037090909,458.4244643893228,552.0,92.69829796517378,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,800.0,92.49487187454544,408.4244643893228,536.0,92.44044693516028,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,850.0,92.18134328727272,358.4244643893228,459.0,92.2387578180118,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,900.0,91.96811922181818,308.4244643893228,407.0,91.9446769603586,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,950.0,91.7138487709091,258.4244643893228,355.0,91.69071755513262,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,1000.0,91.51659647,208.4244643893228,325.0,91.44027808393076,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,1050.0,91.12757377636365,158.4244643893228,256.0,91.2426194938774,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,1100.0,90.96043051727273,108.4244643893228,191.0,90.95819435038248,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,1150.0,90.5742035781818,58.42446438932279,136.5,90.6780700129743,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,1200.0,90.07525043,8.424464389322793,55.0,90.41783973583476,,
KCoHCF,90.0,2,SPI+TBU,1208.4,1208.4,1389.2,1208.0,90.00434050454545,0.424464389322793,41.0,90.24554092516291,,
KCoHCF,90.0,2,Lin,1208.4,1208.4,1389.2,50.0,99.48620487454544,1158.4244643893228,1382.0,99.23913166566696,,
KCoHCF,90.0,2,Lin,1208.4,1208.4,1389.2,100.0,98.6106233118182,1108.4244643893228,1330.0,98.94115885885898,,
